-,-,-,80,PD20,EIC/EXTINT[10],-,-,-,-,-,SERCOM1/PAD[2],SERCOM3/PAD[2],-,-,TCC1/WO[0],-,-,SDHC1/SDCD,-,-,-,-,-
-,-,-,81,PD21,EIC/EXTINT[11],-,-,-,-,-,SERCOM1/PAD[3],SERCOM3/PAD[3],-,-,TCC1/WO[1],-,-,SDHC1/SDWP,-,-,-,-,-
-,39/D4,64,82,PB16,EIC/EXTINT[0],-,-,-,-,-,SERCOM5/PAD[0],-,-,TC6/WO[0],TCC3/WO[0],TCC0/WO[4],-,SDHC1/SDCD,I2S/SCK[0],-,-,GCLK/IO[2],CCL/IN[11]
-,40/D1,65,83,PB17,EIC/EXTINT[1],-,-,-,-,-,SERCOM5/PAD[1],-,-,TC6/WO[1],TCC3/WO[1],TCC0/WO[5],-,SDHC1/SDWP,I2S/MCK[0],-,-,GCLK/IO[3],CCL/OUT[3]
-,-,66,84,PB18,EIC/EXTINT[2],-,-,-,-,-,SERCOM5/PAD[2],SERCOM7/PAD[2],-,-,TCC1/WO[0],PDEC/QDI[0],-,SDHC1/SDDAT[0],-,-,-,GCLK/IO[4],-
-,-,67,85,PB19,EIC/EXTINT[3],-,-,-,-,-,SERCOM5/PAD[3],SERCOM7/PAD[3],-,-,TCC1/WO[1],PDEC/QDI[1],-,SDHC1/SDDAT[1],-,-,-,GCLK/IO[5],-
-,-,68,86,PB20,EIC/EXTINT[4],-,-,-,-,-,SERCOM3/PAD[0],SERCOM7/PAD[1],-,-,TCC1/WO[2],PDEC/QDI[2],-,SDHC1/SDDAT[2],-,-,-,GCLK/IO[6],-
-,-,69,87,PB21,EIC/EXTINT[5],-,-,-,-,-,SERCOM3/PAD[1],SERCOM7/PAD[0],-,-,TCC1/WO[3],-,-,SDHC1/SDDAT[3],-,-,-,GCLK/IO[7],-
29,41/D2,70,88,PA20,EIC/EXTINT[4],-,-,-,-,-,X14/Y14,SERCOM5/PAD[2],SERCOM3/PAD[2],TC7/WO[0],TCC1/WO[4],TCC0/WO[0],-,SDHC1/SDCMD,I2S/FS[0],PCC/DATA[4],GMAC/GMDC,-,-
30,42/D3,71,89,PA21,EIC/EXTINT[5],-,-,-,-,-,X15/Y15,SERCOM5/PAD[3],SERCOM3/PAD[3],TC7/WO[1],TCC1/WO[5],TCC0/WO[1],-,SDHC1/SDCK,I2S/SD,O,PCC/DATA[5],GMAC/GMDIO,-,-
